user_id,movie_id,rating,timestamp,item_rating_count,user_rating_count,engagement_proxy,high_proxy,misaligned
5412,2683,2,960243649,1434,278,398652,0,0
5440,904,5,959995181,1050,35,36750,0,0
368,3717,4,976311423,584,320,186880,0,0
425,1721,4,976283587,1546,189,292194,0,0
4942,3697,1,962642480,643,276,177468,0,0
4668,2011,4,963801714,1158,32,37056,0,0
2907,173,5,971820825,564,849,478836,1,0
2376,1829,3,974336102,37,494,18278,0,0
3824,1959,1,965940852,626,1018,637268,1,1
5605,277,1,959560081,170,736,125120,0,0
4414,1588,3,965703926,289,182,52598,0,0
5709,1214,4,961729497,2024,124,250976,0,0
5812,3360,4,957938867,590,893,526870,1,0
285,1276,5,976579401,930,139,129270,0,0
5491,1997,3,960869701,885,204,180540,0,0
824,3360,3,975378194,590,308,181720,0,0
349,1580,4,1005969105,2538,268,680184,1,0
817,3868,5,975387505,692,398,275416,0,0
3228,661,2,968416356,525,156,81900,0,0
4626,2390,2,964112844,330,386,127380,0,0
5805,908,5,957989716,1315,151,198565,0,0
4732,548,2,963636128,137,685,93845,0,0
1800,3253,5,974741982,1120,252,282240,0,0
3163,177,4,969048794,139,858,119262,0,0
1422,1276,4,976120665,930,728,677040,1,0
5172,3424,4,995328356,781,456,356136,0,0
2892,1201,5,972006605,822,93,76446,0,0
5166,1254,5,961985371,453,116,52548,0,0
58,1676,5,977934904,1163,437,508231,1,0
411,260,5,978451657,2991,635,1899285,1,0
3272,1518,4,971247428,354,836,295944,0,0
411,1285,4,976287787,803,635,509905,1,0
2421,2531,2,974237653,312,61,19032,0,0
1975,2951,5,974686066,522,49,25578,0,0
1966,1361,5,974685563,159,44,6996,0,0
5785,1704,5,958746579,1548,130,201240,0,0
3415,2289,3,967518147,978,166,162348,0,0
1788,1719,4,974700318,381,32,12192,0,0
4052,223,5,971552654,1412,34,48008,0,0
4887,3714,2,962848680,66,420,27720,0,0
3878,2950,4,965919197,346,484,167464,0,0
2817,46,4,972675635,166,82,13612,0,0
5809,1233,5,957982482,1001,248,248248,0,0
288,3398,3,976566957,341,56,19096,0,0
927,2053,3,975195601,381,191,72771,0,0
4509,2706,4,964981140,1389,210,291690,0,0
1460,1028,1,974755778,1011,28,28308,0,0
4823,3535,2,963010430,630,470,296100,0,0
1259,1544,5,974820943,1255,60,75300,0,0
5371,2294,5,960482491,645,324,208980,0,0
1202,224,4,974858055,386,520,200720,0,0
1005,2394,3,975037680,579,92,53268,0,0
5519,1124,3,960430500,405,340,137700,0,0
2857,2787,4,972505439,162,795,128790,0,0
3936,2580,5,965700296,723,34,24582,0,0
4588,3039,4,964315764,839,47,39433,0,0
2947,1225,3,1037742077,1382,136,187952,0,0
3594,1954,4,966635571,1129,157,177253,0,0
5447,2069,5,959971471,140,131,18340,0,0
4868,367,2,962817398,1179,179,211041,0,0
4384,2694,3,965173307,791,290,229390,0,0
3189,3745,3,968650758,535,525,280875,0,0
4177,2804,5,965331405,1352,152,205504,0,0
5755,1614,3,958281309,428,515,220420,0,0
3807,2461,1,965966996,62,478,29636,0,0
5996,1588,5,966275896,289,591,170799,0,0
889,1127,3,975248937,1715,1518,2603370,1,0
3919,454,4,965737078,824,69,56856,0,0
3605,3104,5,966616111,765,115,87975,0,0
1958,236,5,974928270,326,852,277752,0,0
709,1988,2,975540277,51,82,4182,0,0
869,344,4,999376619,766,842,644972,1,0
1121,1614,4,1022867866,428,289,123692,0,0
5458,3424,3,978649566,781,392,306152,0,0
5702,3000,4,958578297,345,117,40365,0,0
672,589,3,975624883,2649,47,124503,0,0
2665,1261,4,974821826,548,828,453744,1,0
1179,1676,4,974867819,1163,234,272142,0,0
3822,125,3,967585095,318,184,58512,0,0
4388,1079,4,965165382,1326,459,608634,1,0
349,1639,2,1021778280,966,268,258888,0,0
982,480,5,975101732,2672,51,136272,0,0
99,3316,3,982873478,289,107,30923,0,0
3985,2725,3,965627497,95,331,31445,0,0
1391,592,2,974861662,1431,209,299079,0,0
1540,913,4,974770348,1043,118,123074,0,0
6002,1295,5,969071498,266,335,89110,0,0
3995,318,5,965583912,2227,163,363001,0,0
1285,587,5,974877210,1124,1144,1285856,1,0
5809,955,5,957988086,413,248,102424,0,0
1339,3524,2,974871473,534,213,113742,0,0
2344,69,3,974415205,319,188,59972,0,0
832,2716,4,975363310,2181,172,375132,0,0
3044,1395,3,970213073,295,304,89680,0,0
371,260,2,976315089,2991,78,233298,0,0
